frame,phase,cx_px,cy_px,radius_px,spread_width_px,detection_method,confidence,D_mm,beta,velocity_mm_s,time_ms,dist_travelled_px,px_per_mm,state_change,right_edge_px,top_edge_px,retraction_velocity_mm_s,rebound_velocity_mm_s
443,falling,111.9,225.6,105.7,,hough,1.0,3.204,1.7622,,0.0,,66.0,True,,,,
444,falling,116.0,182.4,104.0,,hough,1.0,3.151,1.733,1970.33,0.3337,43.394,66.0,False,,,,
445,falling,386.0,339.0,60.0,,template,0.3851,1.8182,1.0,14172.32,0.6674,312.127,66.0,False,,,,
446,falling,386.0,339.0,60.0,,template,0.4095,1.8182,1.0,0.0,1.0011,0.0,66.0,False,,,,
447,falling,124.0,143.4,104.5,,hough,1.0,3.1652,1.7409,14845.84,1.3348,326.961,66.0,False,,,,
448,falling,386.0,335.0,60.0,,template,0.3799,1.8182,1.0,14737.9,1.6685,324.584,66.0,False,,,,
449,falling,124.1,329.8,103.8,,hough,1.0,3.1453,1.7299,11894.06,2.0022,261.952,66.0,False,,,,
450,falling,110.3,137.7,106.8,,hough,1.0,3.2358,1.7797,8744.88,2.3359,192.595,66.0,False,,,,
451,falling,110.1,170.0,106.6,,hough,1.0,3.2309,1.777,1466.63,2.6695,32.301,66.0,False,,,,
452,falling,126.3,286.9,103.9,,hough,1.0,3.1474,1.7311,5358.63,3.0032,118.017,66.0,False,,,,
453,falling,108.4,171.7,106.8,,hough,1.0,3.2356,1.7796,5293.49,3.3369,116.582,66.0,False,,,,
454,falling,112.5,277.0,106.1,,hough,1.0,3.2158,1.7687,4784.83,3.6706,105.38,66.0,False,,,,
455,falling,111.4,312.5,106.3,,hough,1.0,3.2222,1.7722,1612.67,4.0043,35.517,66.0,False,,,,
456,falling,108.4,216.6,105.8,,hough,1.0,3.2053,1.7629,4356.52,4.338,95.947,66.0,False,,,,
457,falling,574.0,318.0,60.0,,template,0.3616,1.8182,1.0,21636.37,4.6717,476.514,66.0,False,,,,
458,falling,382.0,341.0,60.0,,template,0.3957,1.8182,1.0,8780.19,5.0054,193.373,66.0,False,,,,
459,falling,111.6,324.6,106.4,,hough,1.0,3.2228,1.7725,12300.22,5.3391,270.897,66.0,False,,,,
460,falling,125.8,118.9,103.3,,hough,1.0,3.1295,1.7212,9362.15,5.6728,206.19,66.0,False,,,,
461,falling,382.0,341.0,60.0,,template,0.3818,1.8182,1.0,15395.55,6.0065,339.068,66.0,False,,,,
462,falling,382.0,343.0,60.0,,template,0.3725,1.8182,1.0,90.81,6.3402,2.0,66.0,False,,,,
